,Review Title,Up Votes,Down Votes,Month,Review text,Ratings,Year,Sentiment
0,Nice product,889.0,64.0,Feb,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4,2021,Positive
1,Don't waste your money,109.0,6.0,Feb,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1,2021,Negative
2,Did not meet expectations,42.0,3.0,Apr,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1,2021,Negative
5,Mind-blowing purchase,173.0,45.0,Oct,Good quality product. Delivered on time.READ MORE,5,2018,Positive
6,Must buy!,403.0,121.0,Jan,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5,2020,Positive
7,Classy product,59.0,13.0,Oct,Good quality original shuttles.READ MORE,5,2018,Positive
8,Great product,14.0,1.0,Aug,AwesomeREAD MORE,5,2018,Positive
9,Just wow!,50.0,12.0,May,nice original productsREAD MORE,5,2018,Positive
10,Just wow!,57.0,16.0,Jun,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5,2020,Positive
11,Terrific purchase,146.0,52.0,Sep,Best in class....READ MORE,5,2016,Positive
12,Worth every penny,142.0,53.0,Jun,it's genuine and price is less than our near by shopREAD MORE,5,2018,Positive
13,Did not meet expectations,22.0,5.0,Mar,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1,2021,Negative
14,Worth every penny,23.0,6.0,Mar,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5,2019,Positive
15,Brilliant,71.0,29.0,Oct,NycREAD MORE,5,2016,Positive
16,I think it is duplicate,81.0,35.0,Feb,I usually buy them the same model but this did not last even for a dayREAD MORE,1,2018,Negative
17,Slightly disappointed,5.0,0.0,May,"Poor quality, not originalREAD MORE",2,2021,Negative
18,Super!,12.0,1.0,Aug,Delivered on expected timeREAD MORE,5,2020,Positive
19,Awesome,14.0,3.0,Feb,nice and original productREAD MORE,5,2019,Positive
20,Awesome,30.0,10.0,Jun,Very nice and Good price compare then local sports.READ MORE,5,2018,Positive
21,Highly recommended,11.0,1.0,Mar,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5,2021,Positive
22,Nice product,5.0,0.0,May,superbREAD MORE,4,2020,Positive
23,Unsatisfactory,4.0,0.0,Jul,"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1,2018,Negative
24,Nice product,13.0,3.0,May,Genuine product at very reasonable price....got for Rs 630/-READ MORE,4,2018,Positive
25,Fabulous!,19.0,8.0,Oct,Good sealed Original Yonex ShuttlesREAD MORE,5,2018,Positive
26,Not good,3.0,0.0,Apr,They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2,2021,Negative
27,Good choice,4.0,0.0,Feb,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4,2021,Positive
28,Great product,6.0,0.0,Nov,quality is pooverREAD MORE,5,2020,Positive
29,Best in the market!,14.0,5.0,Jun,good productREAD MORE,5,2018,Positive
30,Super!,9.0,3.0,Jul,Good product.....READ MORE,5,2018,Positive
