,Review,Sentiment
0,"Nice product Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",Positive
1,Don't waste your money They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,Negative
2,Did not meet expectations Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,Negative
5,Mind-blowing purchase Good quality product. Delivered on time.READ MORE,Positive
6,Must buy! BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,Positive
7,Classy product Good quality original shuttles.READ MORE,Positive
8,Great product AwesomeREAD MORE,Positive
9,Just wow! nice original productsREAD MORE,Positive
10,Just wow! This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,Positive
11,Terrific purchase Best in class....READ MORE,Positive
12,Worth every penny it's genuine and price is less than our near by shopREAD MORE,Positive
13,"Did not meet expectations This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",Negative
14,Worth every penny really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,Positive
15,Brilliant NycREAD MORE,Positive
16,I think it is duplicate I usually buy them the same model but this did not last even for a dayREAD MORE,Negative
17,"Slightly disappointed Poor quality, not originalREAD MORE",Negative
18,Super! Delivered on expected timeREAD MORE,Positive
19,Awesome nice and original productREAD MORE,Positive
20,Awesome Very nice and Good price compare then local sports.READ MORE,Positive
21,Highly recommended It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,Positive
22,Nice product superbREAD MORE,Positive
23,"Unsatisfactory Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",Negative
24,Nice product Genuine product at very reasonable price....got for Rs 630/-READ MORE,Positive
25,Fabulous! Good sealed Original Yonex ShuttlesREAD MORE,Positive
26,Not good They are not as expected...the head  portion break very soon...defective pieces..READ MORE,Negative
27,Good choice I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,Positive
28,Great product quality is pooverREAD MORE,Positive
29,Best in the market! good productREAD MORE,Positive
30,Super! Good product.....READ MORE,Positive
31,Very Good Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,Positive
35,Not good shuttle is over rotatingREAD MORE,Negative
36,Absolute rubbish! Very bad quality.READ MORE,Negative
37,Worst experience ever! Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,Negative
38,Decent product Not expecting this kind of products from flipkart.READ MORE,Neutral
39,Awesome No one better shuttles in the market.good quality and reasonable price.READ MORE,Positive
40,Did not meet expectations low qualityREAD MORE,Negative
41,Really Nice Superb quality... And best price.. Thanks to flipkart..!READ MORE,Positive
42,Utterly Disappointed second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,Negative
43,Really Nice I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,Positive
45,"Absolute rubbish! I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",Negative
46,"Horrible Quality is not good, rejected qualityREAD MORE",Negative
47,Mind-blowing purchase This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,Positive
48,Terrific purchase Really Nice productQuick delivery Thanks filpkartREAD MORE,Positive
49,Awesome Very nice shuttleREAD MORE,Positive
50,Don't waste your money Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,Negative
51,Worst experience ever! Quality very low. Not orginalREAD MORE,Negative
52,Unsatisfactory WorstREAD MORE,Negative
53,Very poor Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,Negative
54,Worst experience ever! Dont but it.... worst productREAD MORE,Negative
55,Very poor Low quality very bad quality 😡READ MORE,Negative
56,"Utterly Disappointed The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",Negative
57,Worthless Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,Negative
58,Absolute rubbish! Not genuine productREAD MORE,Negative
59,Waste of money! Waste productREAD MORE,Negative
60,Absolute rubbish! I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,Negative
61,Waste of money! Very High PriceREAD MORE,Negative
62,"Waste of money! Bad bad , compare to ah year back coming mavis 350READ MORE",Negative
63,"Just wow! The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",Positive
64,Worst experience ever! Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,Negative
65,Very poor All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,Negative
66,Don't waste your money 3rd class quality  I want Returns but time is overREAD MORE,Negative
67,Very poor Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,Negative
68,Not recommended at all Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,Negative
69,Absolute rubbish! Very bad quality 👎READ MORE,Negative
70,Terrible product Not expected qualityREAD MORE,Negative
71,Don't waste your money Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,Negative
72,Waste of money! not durable. very poor qualityREAD MORE,Negative
73,Good quality product but price is littel bit highREAD MORE,Positive
74,Terrific purchase GoodREAD MORE,Positive
75,Just okay NiceREAD MORE,Neutral
76,Perfect product! not the required one.READ MORE,Positive
77,Not recommended at all This product is not original.please avoid online purchase.READ MORE,Negative
78,Worthless One shuttle was damaged and vobling..let me know what to doREAD MORE,Negative
79,Good choice Good quality productREAD MORE,Positive
80,Terrific purchase Good shuttle and  classic productREAD MORE,Positive
81,Don't waste your money got defective piecesREAD MORE,Negative
82,"Horrible bad packing, unsatisfiedREAD MORE",Negative
83,Awesome Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,Positive
84,Super! good quality..  nice product..  thanks fpr fast deliveryREAD MORE,Positive
85,Brilliant Nice cockeREAD MORE,Positive
86,Just wow! Good qualityREAD MORE,Positive
87,Duplicate product sold by RetailNet. Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,Negative
88,Really Nice it's awsm 😎READ MORE,Positive
89,Best in the market! reasonable priceREAD MORE,Positive
90,"Super! Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",Positive
91,Just wow! One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,Positive
92,"Delightful good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",Positive
93,Good for starters but not the best. Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,Positive
94,"Wonderful Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",Positive
95,"Simply awesome Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",Positive
96,"Worth every penny got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",Positive
97,"Mind-blowing purchase This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",Positive
98,"Wonderful After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",Positive
99,Delightful very good product n durable but not good enough speed slows down little in mid airREAD MORE,Positive
100,Brand new and Genuine The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,Positive
101,Must buy! Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,Positive
102,Nice product Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,Positive
103,"Simply awesome This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",Positive
104,"Hated it! Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",Negative
105,Unsatisfactory Cost is too high I hate the productREAD MORE,Negative
106,Utterly Disappointed Very poor quality...inconsistent speed...poor flightREAD MORE,Negative
107,Excellent Yonex is always best in quality....READ MORE,Positive
108,Worthless worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,Negative
109,"MAVIS 350 i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",Positive
110,Excellent I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,Positive
